"full_name","id","run_uuid","created_at","updated_at","repository_id","period_start_date","period_end_date","previous_period_start_date","previous_period_end_date","interval_weeks","sticky_metric_score","magnet_metric_score","oss_category","Transition","SIG change","developers_new_current_period","developers_total","developers_with_contributions_previous_period","developers_with_contributions_current_period","developers_with_contributions_previous_and_current_period","issues_count_current_period","issues_count_total","stargazers_count_current_period","stargazers_count_total","pull_requests_count_current_period","pull_requests_count_total","forks_count_current_period","forks_count_total","checkout_sha",,"bugs_current_period","bugs_total","bugs_closed_current_period","bugs_closed_total","support_current_period","support_total","support_closed_current_period","support_closed_total","total_loc","total_kloc","total_lines","sig_volume_ranking","sig_volume_ranking_numeric","loc_complexity_per_risk","percentage_complexity_per_risk","loc_unit_size_per_risk","percentage_unit_size_per_risk","sig_complexity_ranking","sig_complexity_ranking_value","sig_unit_size_ranking","sig_unit_size_ranking_value","duplication_line_count","duplication_block_count","duplication_percentage","sig_duplication_ranking","sig_duplication_ranking_numeric","sig_analysability_ranking","sig_analysability_ranking_numeric","sig_changeability_ranking","sig_changeability_ranking_numeric","sig_testability_ranking","sig_testability_ranking_numeric","sig_overall_ranking_numeric","issues_average_duration_days","comments_total","comments_relevant_percentage","comments_relevant","comments_relevant_loc","comments_copyright","comments_copyright_loc","comments_auxiliary","comments_auxiliary_loc","comments_loc","comments_percentage","sig_comments_ranking","sig_comments_ranking_numeric","sig_analysability_ranking_no_unit_tests","sig_changeability_ranking_no_unit_tests","sig_testability_ranking_no_unit_tests","sig_overall_ranking_numeric_no_unit_tests","prev_sig_analysability_ranking_no_unit_tests","prev_sig_changeability_ranking_no_unit_tests","prev_sig_testability_ranking_no_unit_tests","prev_sig_overall_ranking_numeric_no_unit_tests","prev_oss_category","full_name"
"hneemann/Digital",1,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:15","2024-01-25 21:15",6347,2019-01-01,2019-07-02,2018-07-03,2019-01-01,26,"0,22222222","0,08333333","Fluctuating",,,2,24,9,5,2,55,281,94,326,9,36,8,42,"9d26898afa24195ff6c8c3dbbb60f2e02dc620d9",,8,44,8,44,7,50,7,50,49912,50,70953,"++",5,"low: 32529 *** moderate: 3297 *** high: 945 *** very_high: 0 ***","low: 65.173 *** moderate: 6.606 *** high: 1.893 *** very_high: 0 ***","low: 29469 *** moderate: 2723 *** high: 2498 *** very_high: 2081 ***","low: 59.042 *** moderate: 5.456 *** high: 5.005 *** very_high: 4.169 ***","+",4,"+",4,1256,323,"2,52","++",5,"+",5,"+",4,"+",4,4,"8,7712",4747,84,4004,17630,705,3533,38,44,21207,30,"+",4,5,4,4,4,,,,,,"hneemann/Digital"
"hneemann/Digital",2,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:15","2024-01-25 21:15",6347,2019-07-02,2019-12-31,2019-01-01,2019-07-02,26,"0,2","0,27272727","Fluctuating","Fluctuating -> Fluctuating","SAME",9,33,5,10,1,123,404,127,453,9,45,20,62,"e56963dc9ed30a15e55240576b5addcae8ff9d62",,18,62,17,61,39,89,39,89,52094,52,73673,"++",5,"low: 34092 *** moderate: 3266 *** high: 954 *** very_high: 0 ***","low: 65.443 *** moderate: 6.269 *** high: 1.831 *** very_high: 0 ***","low: 30993 *** moderate: 2646 *** high: 2368 *** very_high: 2305 ***","low: 59.494 *** moderate: 5.079 *** high: 4.546 *** very_high: 4.425 ***","+",4,"+",4,1229,323,"2,36","++",5,"+",5,"+",4,"+",4,4,"7,141",4885,85,4129,18105,719,3603,37,43,21751,30,"+",4,5,4,4,4,5,4,4,4,"Fluctuating","hneemann/Digital"
"hneemann/Digital",3,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:15","2024-01-25 21:15",6347,2019-12-31,2020-06-30,2019-07-02,2019-12-31,26,"0,1","0,08333333","Fluctuating","Fluctuating -> Fluctuating","SAME",3,36,10,5,1,86,490,197,650,4,49,29,91,"d51825caf867a25c5e8e5dc330c4adcbf2344522",,8,70,8,69,35,124,35,124,53657,54,76030,"++",5,"low: 35147 *** moderate: 3312 *** high: 1021 *** very_high: 0 ***","low: 65.503 *** moderate: 6.173 *** high: 1.903 *** very_high: 0 ***","low: 31993 *** moderate: 2850 *** high: 2240 *** very_high: 2397 ***","low: 59.625 *** moderate: 5.312 *** high: 4.175 *** very_high: 4.467 ***","+",4,"+",4,1230,325,"2,29","++",5,"+",5,"+",4,"+",4,4,"8,7866",5065,85,4280,18768,748,3748,37,43,22559,30,"+",4,5,4,4,4,5,4,4,4,"Fluctuating","hneemann/Digital"
"hneemann/Digital",4,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:15","2024-01-25 21:15",6347,2020-06-30,2020-12-29,2019-12-31,2020-06-30,26,"0,6","0,05263158","Stagnant","Fluctuating -> Stagnant","SAME",2,38,5,5,3,95,585,296,946,9,58,29,120,"b7a761629155c62e7b3df9145dc8fae32717d830",,12,82,12,81,18,142,17,141,55773,56,78856,"++",5,"low: 36573 *** moderate: 3351 *** high: 1058 *** very_high: 0 ***","low: 65.575 *** moderate: 6.008 *** high: 1.897 *** very_high: 0 ***","low: 33236 *** moderate: 2945 *** high: 2390 *** very_high: 2411 ***","low: 59.592 *** moderate: 5.28 *** high: 4.285 *** very_high: 4.323 ***","+",4,"+",4,1245,332,"2,23","++",5,"+",5,"+",4,"+",4,4,"7,9537",5221,85,4418,19386,766,3838,37,43,23267,30,"+",4,5,4,4,4,5,4,4,4,"Fluctuating","hneemann/Digital"
"hneemann/Digital",5,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:15","2024-01-25 21:15",6347,2020-12-29,2021-06-29,2020-06-30,2020-12-29,26,"0,8","0,20833333","Attractive","Stagnant -> Attractive","SAME",10,48,5,15,4,125,710,793,1739,22,80,49,169,"9aa2c6ccd06a46acc430beec351391fbc7a2c2c2",,13,95,12,93,27,169,27,168,58425,58,82249,"++",5,"low: 38188 *** moderate: 3393 *** high: 1228 *** very_high: 0 ***","low: 65.362 *** moderate: 5.807 *** high: 2.102 *** very_high: 0 ***","low: 34791 *** moderate: 3100 *** high: 2481 *** very_high: 2437 ***","low: 59.548 *** moderate: 5.306 *** high: 4.246 *** very_high: 4.171 ***","+",4,"+",4,1277,331,"2,19","++",5,"+",5,"+",4,"+",4,4,"7,2654",5430,85,4602,20033,791,3963,37,43,24039,29,"+",4,5,4,4,4,5,4,4,4,"Stagnant","hneemann/Digital"
"hneemann/Digital",6,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:15","2024-01-25 21:15",6347,2021-06-29,2021-12-28,2020-12-29,2021-06-29,26,"0,33333333","0,05882353","Stagnant","Attractive -> Stagnant","SAME",3,51,15,8,5,70,780,345,2084,11,91,42,211,"1951d7aee84ae756e42f72c05faae7d19ad681ac",,3,98,3,96,14,183,14,182,58865,59,82832,"++",5,"low: 38449 *** moderate: 3380 *** high: 1306 *** very_high: 0 ***","low: 65.317 *** moderate: 5.742 *** high: 2.219 *** very_high: 0 ***","low: 34961 *** moderate: 3088 *** high: 2635 *** very_high: 2451 ***","low: 59.392 *** moderate: 5.246 *** high: 4.476 *** very_high: 4.164 ***","+",4,"+",4,1286,333,"2,18","++",5,"+",5,"+",4,"+",4,4,"10,3717",5461,85,4633,20205,791,3963,37,43,24211,29,"+",4,5,4,4,4,5,4,4,4,"Attractive","hneemann/Digital"
"hneemann/Digital",7,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:15","2024-01-25 21:15",6347,2021-12-28,2022-06-28,2021-06-29,2021-12-28,26,"0,375","0,07272727","Attractive","Stagnant -> Attractive","SAME",4,55,8,7,3,54,834,299,2383,10,101,40,251,"86896b81a7f32bb25b7924ecccc875c4629e2880",,6,104,4,100,8,191,8,190,59163,59,83259,"++",5,"low: 38642 *** moderate: 3385 *** high: 1308 *** very_high: 0 ***","low: 65.314 *** moderate: 5.721 *** high: 2.211 *** very_high: 0 ***","low: 35107 *** moderate: 3080 *** high: 2679 *** very_high: 2469 ***","low: 59.339 *** moderate: 5.206 *** high: 4.528 *** very_high: 4.173 ***","+",4,"+",4,1287,333,"2,18","++",5,"+",5,"+",4,"+",4,4,"10,2585",5488,85,4659,20352,792,3968,37,43,24363,29,"+",4,5,4,4,4,5,4,4,4,"Stagnant","hneemann/Digital"
"hneemann/Digital",8,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:15","2024-01-25 21:15",6347,2022-06-28,2022-12-27,2021-12-28,2022-06-28,26,"0,42857143","0,16666667","Attractive","Attractive -> Attractive","SAME",11,66,7,14,3,57,891,383,2766,10,111,42,293,"676636766a2091f615ed22f982816b7d05a9a5f0",,2,106,2,102,3,194,3,193,59258,59,83381,"++",5,"low: 38745 *** moderate: 3385 *** high: 1308 *** very_high: 0 ***","low: 65.384 *** moderate: 5.712 *** high: 2.207 *** very_high: 0 ***","low: 35122 *** moderate: 3112 *** high: 2725 *** very_high: 2479 ***","low: 59.27 *** moderate: 5.252 *** high: 4.599 *** very_high: 4.183 ***","+",4,"+",4,1274,329,"2,15","++",5,"+",5,"+",4,"+",4,4,"10,3998",5493,85,4664,20379,792,3968,37,43,24390,29,"+",4,5,4,4,4,5,4,4,4,"Attractive","hneemann/Digital"
"google/bundletool",9,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:21","2024-01-25 21:21",6172,2019-01-01,2019-07-02,2018-07-03,2019-01-01,26,"0,2","0,38461538","Fluctuating",,,5,13,5,6,1,45,84,341,1088,6,10,28,75,"5ac94cb61e949f135c50f6ce52bbb5f00e8e959f",,0,0,0,0,0,0,0,0,19140,19,25443,"++",5,"low: 10835 *** moderate: 752 *** high: 88 *** very_high: 0 ***","low: 56.609 *** moderate: 3.929 *** high: 0.46 *** very_high: 0 ***","low: 9784 *** moderate: 1173 *** high: 551 *** very_high: 167 ***","low: 51.118 *** moderate: 6.129 *** high: 2.879 *** very_high: 0.873 ***","+",4,"++",5,176,53,"0,92","++",5,"+",5,"+",4,"+",4,4,"20,6094",1271,79,1004,2678,219,3281,48,48,6007,24,"+",4,5,4,5,5,,,,,,"google/bundletool"
"google/bundletool",10,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 21:21","2024-01-25 21:21",6172,2019-07-02,2019-12-31,2019-01-01,2019-07-02,26,"0,16666667","0,31578947","Fluctuating","Fluctuating -> Fluctuating","SAME",6,19,6,8,1,51,135,297,1385,7,17,50,125,"8f922cf4b24bb1714d06cfa303d8e79e81b71a91",,0,0,0,0,0,0,0,0,21514,22,28287,"++",5,"low: 12308 *** moderate: 898 *** high: 182 *** very_high: 0 ***","low: 57.209 *** moderate: 4.174 *** high: 0.846 *** very_high: 0 ***","low: 10853 *** moderate: 1482 *** high: 699 *** very_high: 354 ***","low: 50.446 *** moderate: 6.889 *** high: 3.249 *** very_high: 1.645 ***","+",4,"++",5,220,66,"1,02","++",5,"+",5,"+",4,"+",4,4,"21,6915",1403,80,1122,2932,231,3461,50,50,6443,23,"+",4,5,4,5,5,5,4,5,5,"Fluctuating","google/bundletool"
